type,price,beds,bath,propertysqft,latitude,longitude,borough,neighborhood,price_per_sqft
House,1295000,3,1,2184.207862,40.7493551,-73.9158547,Manhattan,Queens,592.89
House,549000,5,2,1716.0,40.5721728,-74.0972787,Manhattan,Staten Island,319.93
Co-op,129000,1,1,750.0,40.8995193,-73.8623678,Bronx,Bronx,172.0
House,475000,3,2,900.0,40.6158816,-74.0822185,Manhattan,Staten Island,527.78
Multi-family,980000,4,3,1408.0,40.611841,-73.92961,Manhattan,Brooklyn,696.02
Multi-family,1199000,4,2,1824.0,40.6119254,-74.0084031,Manhattan,Brooklyn,657.35
Townhouse,1299999,5,5,3134.0,40.5883339,-73.7934039,Manhattan,Queens,414.81
Co-op,265000,2,1,1100.0,40.6068092,-73.9590334,Brooklyn,Brooklyn,240.91
Co-op,262500,1,1,2184.207862,40.8819467,-73.9200169,Bronx,Bronx,120.18
House,2699000,7,6,11250.0,40.6087694,-74.0597773,Manhattan,Staten Island,239.91
House,1200000,4,4,3300.0,40.8580056,-73.8365535,Manhattan,Bronx,363.64
Co-op,850000,1,1,2184.207862,40.729293,-74.003447,Manhattan,Manhattan,389.16
House,989000,6,4,2720.0,40.5119454,-74.2470716,Manhattan,Staten Island,363.6
Multi-family,899999,5,3,1800.0,40.9016185,-73.8999396,Manhattan,Bronx,500.0
House,2780000,5,6,3045.0,40.7967438,-73.8160751,Manhattan,Queens,912.97
Co-op,999000,2,1,1050.0,40.7921116,-73.9731768,Manhattan,Manhattan,951.43
Multi-family,699000,6,2,2184.207862,40.6373525,-73.9344092,Manhattan,Brooklyn,320.02
Condo,60000,3,1,445.0,40.7613979,-73.9746128,Manhattan,Manhattan,134.83
House,499999,4,2,1248.0,40.6289462,-74.1388487,Manhattan,Staten Island,400.64
House,599999,3,2,1272.0,40.6111849,-74.0753235,Manhattan,Staten Island,471.7
House,725000,4,2,2000.0,40.6199521,-74.1237895,Manhattan,Staten Island,362.5
House,998888,3,2,1780.0,40.6117545,-74.0323281,Manhattan,Brooklyn,561.17
Multi-family,980000,3,4,2700.0,40.586018,-73.9252126,Manhattan,Brooklyn,362.96
House,800000,3,2,2184.207862,40.71593,-73.8858453,Manhattan,Queens,366.27
House,1299000,3,4,4450.0,40.854862,-73.7906694,Manhattan,Bronx,291.91
House,799000,3,2,1128.0,40.6169213,-73.9415274,Manhattan,Brooklyn,708.33
House,995000,3,2,3080.0,40.8513854,-73.854324,Manhattan,Bronx,323.05
House,1250000,5,3,2295.0,40.617019,-73.9878352,Manhattan,Brooklyn,544.66
Multi-family,1275000,3,4,2184.207862,40.7675169,-73.7439734,Manhattan,Queens,583.74
Multi-family,749999,6,3,3150.0,40.8453955,-73.868163,Manhattan,Bronx,238.09
Townhouse,2650000,5,4,4100.0,40.6711016,-73.9473427,Manhattan,Brooklyn,646.34
Co-op,999000,2,1,2184.207862,40.7866659,-73.974142,Manhattan,Manhattan,457.37
Co-op,279000,2,1,2184.207862,40.7069299,-73.82404,Queens,Queens,127.74
Condo,479000,2,2,1008.0,40.5782884,-74.1583011,Staten Island,Staten Island,475.2
Co-op,2300000,2,2,1600.0,40.7236159,-73.9781735,Manhattan,Manhattan,1437.5
Multi-family,1390000,6,5,2245.0,40.7111134,-73.7361784,Manhattan,Queens,619.15
Co-op,450000,3,2,1026.0,40.7323502,-73.8611654,Queens,Queens,438.6
Co-op,999000,3,2,2184.207862,40.7982086,-73.9680164,Manhattan,Manhattan,457.37
House,1999000,4,4,3420.0,40.5939144,-74.1059876,Manhattan,Staten Island,584.5
Mobile,1288000,6,3,2184.207862,40.760908,-73.861558,Manhattan,Queens,589.69
Multi-family,639888,5,3,1376.0,40.5564024,-74.1975285,Manhattan,Staten Island,465.03
House,569900,4,2,2180.0,40.6395577,-74.0807615,Manhattan,Staten Island,261.42
House,1630000,7,4,2184.207862,40.7704732,-73.7318799,Manhattan,Queens,746.27
Multi-family,689888,3,2,1300.0,40.6780811,-73.8188973,Manhattan,Queens,530.68
Co-op,378000,2,1,2184.207862,40.7341999,-73.81974,Queens,Queens,173.06
Townhouse,23900000,6,2,7110.0,40.7785441,-73.9840907,Manhattan,Manhattan,3361.46
Co-op,149000,1,1,2184.207862,40.7581299,-73.8569399,Queens,Queens,68.22
House,589000,4,3,1320.0,40.63567,-74.166895,Manhattan,Staten Island,446.21
Co-op,195000,1,1,2184.207862,40.7659255,-73.7453922,Queens,Queens,89.28
House,299000,1,1,608.0,40.5638362,-74.0989788,Manhattan,Staten Island,491.78
House,1750000,4,4,3645.0,40.7968959,-73.822999,Manhattan,Queens,480.11
Townhouse,815000,3,2,2184.207862,40.722658,-73.877617,Manhattan,Queens,373.13
Multi-family,989000,5,3,2184.207862,40.7531679,-73.8836878,Manhattan,Queens,452.8
Condo,1075000,2,2,2184.207862,40.7507895,-73.9974127,Manhattan,Manhattan,492.17
House,879000,2,1,1000.0,40.7615369,-73.9579786,Manhattan,Manhattan,879.0
Co-op,999995,2,1,2184.207862,40.7321997,-73.9888999,Manhattan,Manhattan,457.83
Co-op,430000,2,2,1200.0,40.8830657,-73.9206428,Bronx,Bronx,358.33
Co-op,445000,3,2,2184.207862,40.7547252,-73.8255572,Queens,Queens,203.74
House,999000,3,2,1900.0,40.6228038,-74.0109676,Manhattan,Brooklyn,525.79
House,2299000,6,4,2184.207862,40.7171982,-73.8496941,Manhattan,Queens,1052.56
House,1225000,4,2,1960.0,40.7684802,-73.7666662,Manhattan,Queens,625.0
House,849000,3,2,2184.207862,40.7282284,-73.8732527,Manhattan,Queens,388.7
House,1350000,4,3,1760.0,40.7293576,-73.7830175,Manhattan,Queens,767.05
House,1600000,4,4,3150.0,40.5364873,-74.1987178,Manhattan,Staten Island,507.94
Condo,600000,3,1,441.0,40.7691094,-73.98162,Manhattan,Manhattan,1360.54
Co-op,435000,3,1,2184.207862,40.7799639,-73.9841598,Manhattan,Manhattan,199.16
Co-op,329000,1,1,750.0,40.61593,-74.0335829,Brooklyn,Brooklyn,438.67
Townhouse,10975000,3,4,2184.207862,40.6963652,-73.9941542,Manhattan,Brooklyn,5024.7
House,599000,4,2,2184.207862,40.7003331,-73.7875164,Manhattan,Queens,274.24
House,699999,4,2,2184.207862,40.6862137,-73.8740777,Manhattan,Brooklyn,320.48
Co-op,370000,3,1,2184.207862,40.7450423,-73.9839731,Manhattan,Manhattan,169.4
Co-op,299000,1,1,2184.207862,40.7538054,-73.9935323,Manhattan,Manhattan,136.89
House,2400000,5,4,3800.0,40.5752476,-74.1304878,Manhattan,Staten Island,631.58
Condo,275000,1,1,850.0,40.6056272,-73.943238,Brooklyn,Brooklyn,323.53
Co-op,1395000,3,3,1750.0,40.7971343,-73.9722076,Manhattan,Manhattan,797.14
Condo,568000,2,1,550.0,40.6141211,-73.9966616,Brooklyn,Brooklyn,1032.73
Multi-family,1049000,3,2,2184.207862,40.7751162,-73.902397,Manhattan,Queens,480.27
House,899000,4,2,1200.0,40.7791608,-73.8257555,Manhattan,Queens,749.17
Co-op,495000,1,1,2184.207862,40.7885633,-73.9767931,Manhattan,Manhattan,226.63
House,535000,3,3,1328.0,40.8355073,-73.9119966,Manhattan,Bronx,402.86
House,799999,3,2,1596.0,40.5419604,-74.1682869,Manhattan,Staten Island,501.25
Condo,1989000,2,2,1274.0,40.7603978,-73.9919328,Manhattan,Manhattan,1561.22
House,699000,6,4,2223.0,40.818678,-73.8954715,Manhattan,Bronx,314.44
House,599000,4,4,2100.0,40.6083635,-73.7565424,Manhattan,Queens,285.24
Co-op,169000,1,1,680.0,40.6150193,-73.9464928,Brooklyn,Brooklyn,248.53
House,749000,3,2,1600.0,40.8544909,-73.8490394,Manhattan,Bronx,468.12
House,1099000,5,4,3500.0,40.5457789,-74.1847061,Manhattan,Staten Island,314.0
Townhouse,475000,2,2,1364.0,40.5634891,-74.1422664,Manhattan,Staten Island,348.24
Co-op,124900,1,1,676.0,40.880833,-73.8758596,Bronx,Bronx,184.76
House,5900000,7,8,10100.0,40.897896,-73.903306,Manhattan,Bronx,584.16
Condo,249000,2,1,815.0,40.840962,-73.854142,Manhattan,Bronx,305.52
Condo,509000,3,1,2184.207862,40.7544029,-73.876343,Queens,Queens,233.04
Townhouse,549000,3,2,1150.0,40.5032035,-74.2388518,Manhattan,Staten Island,477.39
Townhouse,2995000,4,6,2184.207862,40.6819529,-73.9373297,Manhattan,Brooklyn,1371.21
Multi-family,1999000,6,4,3850.0,40.9110703,-73.9017893,Manhattan,Bronx,519.22
Multi-family,350000,3,2,2184.207862,40.8585142,-73.8918995,Manhattan,Bronx,160.24
Co-op,269000,1,1,2184.207862,40.7759232,-73.9087334,Queens,Queens,123.16
House,7500000,6,2,2184.207862,40.8982423,-73.904797,Manhattan,Bronx,3433.74
Condo,2200000,3,4,1779.0,40.7685084,-73.9499965,Manhattan,Manhattan,1236.65
House,479000,4,2,1800.0,40.6714818,-73.7606794,Manhattan,Queens,266.11
Co-op,329000,1,1,2184.207862,40.7193051,-73.8453248,Queens,Queens,150.63
Multi-family,560000,3,2,2184.207862,40.632221,-73.955309,Manhattan,Brooklyn,256.39
Townhouse,588000,4,3,2160.0,40.8678944,-73.9078533,Bronx,Bronx,272.22
Condo,3300000,2,2,1652.0,40.7720149,-73.9555341,Manhattan,Manhattan,1997.58
Co-op,169999,2,1,2184.207862,40.7579027,-73.8562374,Queens,Queens,77.83
Co-op,439000,1,1,950.0,40.638118,-74.073964,Staten Island,Staten Island,462.11
House,758000,3,2,1760.0,40.708633,-73.865415,Manhattan,Queens,430.68
Co-op,448000,3,1,2184.207862,40.7932677,-73.7984822,Queens,Queens,205.11
Townhouse,2977000,4,4,2601.0,40.6834305,-74.005483,Manhattan,Brooklyn,1144.56
Co-op,385000,1,1,900.0,40.876794,-73.9177034,Bronx,Bronx,427.78
House,1475000,5,4,1928.0,40.5999698,-73.7455103,Manhattan,Queens,765.04
House,978000,3,2,2184.207862,40.7337126,-73.7765367,Manhattan,Queens,447.76
Condo,2700000,3,3,1398.0,40.7320824,-73.9610327,Brooklyn,Brooklyn,1931.33
Co-op,349000,2,1,900.0,40.8802558,-73.9168342,Bronx,Bronx,387.78
Townhouse,790000,3,2,1596.0,40.7761945,-73.8477672,Manhattan,Queens,494.99
Condo,750000,2,2,995.0,40.7784107,-73.7810479,Queens,Queens,753.77
Co-op,1195000,3,3,995.0,40.8830898,-73.9165737,Bronx,Bronx,1201.01
Co-op,1750000,3,3,995.0,40.7989206,-73.9723967,Manhattan,Manhattan,1758.79
House,874999,3,2,2868.0,40.5771798,-74.119431,Manhattan,Staten Island,305.09
Co-op,324900,1,1,900.0,40.8716437,-73.9178483,Manhattan,Manhattan,361.0
Co-op,97500,2,1,791.0,40.8279037,-73.881623,Bronx,Bronx,123.26
Condo,2200000,2,2,2035.0,40.7708684,-73.966733,Manhattan,Manhattan,1081.08
House,550000,2,2,995.0,40.8209689,-73.8074205,Manhattan,Bronx,552.76
Co-op,519999,3,2,1100.0,40.7551143,-73.8752634,Queens,Queens,472.73
House,729000,2,1,1100.0,40.5343207,-74.1998415,Manhattan,Staten Island,662.73
House,2898555,5,5,7200.0,40.5203019,-74.1780566,Manhattan,Staten Island,402.58
House,611999,3,2,2184.207862,40.6973209,-73.7315945,Manhattan,Queens,280.19
House,1500000,3,3,2100.0,40.5786182,-73.9420211,Manhattan,Brooklyn,714.29
House,5600000,5,4,4959.0,40.611854,-73.9477154,Manhattan,Brooklyn,1129.26
Co-op,299999,2,1,857.0,40.8227774,-73.8084775,Bronx,Bronx,350.06
House,2358000,4,5,6300.0,40.5467194,-74.1923203,Manhattan,Staten Island,374.29
House,748888,2,2,1260.0,40.6131085,-74.1603745,Manhattan,Staten Island,594.36
House,630000,2,2,1450.0,40.5604211,-74.1344639,Manhattan,Staten Island,434.48
Condo,1389000,2,2,1043.0,40.849705,-73.94014,Manhattan,Manhattan,1331.74
Co-op,319000,2,1,925.0,40.7355842,-73.8491198,Queens,Queens,344.86
House,319000,3,1,2184.207862,40.6242127,-74.1357292,Manhattan,Staten Island,146.05
Multi-family,1199000,4,3,1848.0,40.7349473,-73.7733194,Manhattan,Queens,648.81
Multi-family,1500000,6,4,3328.0,40.585111,-74.1036081,Manhattan,Staten Island,450.72
House,780000,3,2,1320.0,40.6384339,-73.8899834,Manhattan,Brooklyn,590.91
Co-op,350000,2,1,2184.207862,40.8255972,-73.9529963,Manhattan,Manhattan,160.24
Co-op,255000,1,1,750.0,40.5792324,-73.9713245,Brooklyn,Brooklyn,340.0
Condo,649000,2,2,905.0,40.5855131,-73.9883977,Manhattan,Brooklyn,717.13
House,1480000,4,4,1596.0,40.7699832,-73.8257555,Manhattan,Queens,927.32
House,628000,3,2,1824.0,40.5755968,-74.1636272,Manhattan,Staten Island,344.3
Co-op,190000,2,1,875.0,40.8766081,-73.8998497,Bronx,Bronx,217.14
Condo,450000,2,1,2184.207862,40.7541793,-73.8310866,Queens,Queens,206.02
House,699900,3,2,1240.0,40.71397,-73.8970573,Manhattan,Queens,564.44
Multi-family,2495000,3,4,2184.207862,40.7679759,-73.899664,Manhattan,Queens,1142.29
Co-op,149999,1,1,850.0,40.8992144,-73.8624103,Bronx,Bronx,176.47
Co-op,208000,1,1,610.0,40.7398044,-73.9980373,Manhattan,Manhattan,340.98
Multi-family,1239998,4,4,2250.0,40.5355587,-74.2075918,Manhattan,Staten Island,551.11
House,1350000,3,3,2184.207862,40.724706,-73.7957477,Manhattan,Queens,618.07
House,889000,3,2,2362.0,40.5395766,-74.1810757,Manhattan,Staten Island,376.38
Condo,1300000,2,2,1100.0,40.6746458,-73.9992831,Brooklyn,Brooklyn,1181.82
Co-op,310000,2,1,675.0,40.7444053,-73.7237661,Queens,Queens,459.26
Co-op,239900,1,1,585.0,40.7516659,-73.7183001,Queens,Queens,410.09
Co-op,257000,3,1,450.0,40.5756277,-73.9667833,Brooklyn,Brooklyn,571.11
Condo,1090000,2,2,1860.0,40.7879226,-73.7863723,Queens,Queens,586.02
Multi-family,799999,6,2,2184.207862,40.6245872,-73.9219517,Manhattan,Brooklyn,366.27
Townhouse,2045000,6,4,3976.0,40.8305666,-73.9469641,Manhattan,Manhattan,514.34
Multi-family,1195000,3,2,2700.0,40.5424657,-74.1746625,Manhattan,Staten Island,442.59
Co-op,340000,2,1,900.0,40.8919476,-73.8973687,Bronx,Bronx,377.78
House,1375000,6,2,1596.0,40.7681033,-73.8107752,Manhattan,Queens,861.53
House,749000,3,1,1644.0,40.6267035,-74.1052076,Manhattan,Staten Island,455.6
Co-op,775000,3,2,1880.0,40.7636632,-73.9655082,Manhattan,Manhattan,412.23
Multi-family,948000,7,3,2184.207862,40.694328,-73.7581979,Manhattan,Queens,434.02
House,880000,3,2,2184.207862,40.7439956,-73.908547,Manhattan,Queens,402.89
Co-op,699000,1,1,600.0,40.7794608,-73.979919,Manhattan,Manhattan,1165.0
Co-op,2250000,4,3,2184.207862,40.7830893,-73.9713177,Manhattan,Manhattan,1030.12
Co-op,319000,3,1,2184.207862,40.8153009,-73.9380717,Manhattan,Manhattan,146.05
Multi-family,1300000,6,3,2184.207862,40.6236835,-73.9213087,Manhattan,Brooklyn,595.18
Multi-family,729000,3,3,1800.0,40.6391205,-73.9112362,Manhattan,Brooklyn,405.0
Condo,425000,2,2,800.0,40.8848915,-73.9110436,Bronx,Bronx,531.25
Co-op,399000,1,1,2184.207862,40.7723985,-73.9482206,Manhattan,Manhattan,182.67
Co-op,625000,3,1,652.0,40.702334,-73.9937463,Brooklyn,Brooklyn Heights,958.59
Co-op,269000,1,1,700.0,40.7318958,-73.8599645,Queens,Queens,384.29
Condo,449000,2,2,1440.0,40.580134,-74.154154,Manhattan,Staten Island,311.81
Co-op,550000,3,2,1250.0,40.8071957,-73.941821,Manhattan,Manhattan,440.0
Townhouse,799900,3,2,2058.0,40.5147701,-74.2022363,Manhattan,Staten Island,388.68
House,829000,4,2,1680.0,40.6565796,-73.8516349,Manhattan,Queens,493.45
Condo,789000,2,2,1230.0,40.577533,-73.958513,Brooklyn,Brooklyn,641.46
Townhouse,24990000,7,6,8500.0,40.7577238,-73.9597924,Manhattan,Manhattan,2940.0
House,2250000,6,4,2184.207862,40.7246592,-73.9475691,Manhattan,Brooklyn,1030.12
Co-op,359000,1,1,2184.207862,40.7751786,-73.9550168,Manhattan,Manhattan,164.36
House,1439000,6,4,1440.0,40.6337561,-74.003307,Manhattan,Brooklyn,999.31
Multi-family,1050000,7,4,3280.0,40.8282228,-73.8706372,Manhattan,Bronx,320.12
Co-op,134500,3,1,503.0,40.8789773,-73.916004,Bronx,Bronx,267.4
Townhouse,11900000,6,2,9075.0,40.8032028,-73.9687464,Manhattan,Manhattan,1311.29
House,270000,4,2,2000.0,40.8550515,-73.8852304,Manhattan,Bronx,135.0
Multi-family,2280000,6,5,2184.207862,40.7472951,-73.8164494,Manhattan,Queens,1043.86
Co-op,278999,1,1,2184.207862,40.7601741,-73.728329,Manhattan,Queens,127.73
Multi-family,625000,5,2,2184.207862,40.6921071,-73.9400823,Manhattan,Brooklyn,286.14
House,529000,3,2,1150.0,40.635324,-74.133679,Manhattan,Staten Island,460.0
Townhouse,1050000,4,1,2184.207862,40.6701878,-73.9595284,Manhattan,Brooklyn,480.72
Co-op,225000,3,1,2184.207862,40.7992319,-73.9526079,Manhattan,Manhattan,103.01
Townhouse,1049000,3,1,1224.0,40.7207542,-73.8537801,Manhattan,Queens,857.03
Co-op,259000,1,1,2184.207862,40.7488599,-73.8926999,Queens,Queens,118.58
House,599000,3,2,2184.207862,40.6645719,-73.8995034,Manhattan,Brooklyn,274.24
Condo,3595000,3,3,1862.0,40.7241961,-74.0091487,Manhattan,Manhattan,1930.72
Multi-family,998000,6,3,1872.0,40.7086372,-73.9026067,Manhattan,Queens,533.12
Multi-family,889000,6,2,2280.0,40.8368581,-73.8449273,Manhattan,Bronx,389.91
House,825000,2,2,1820.0,40.6163169,-73.9981652,Manhattan,Brooklyn,453.3
Multi-family,599999,6,2,3490.0,40.6649303,-73.8670719,Manhattan,Brooklyn,171.92
Townhouse,10999000,5,7,2184.207862,40.7836212,-73.9759437,Manhattan,Manhattan,5035.69
House,2750000,4,2,2184.207862,40.8930548,-73.9067416,Manhattan,Bronx,1259.04
House,649000,3,2,1064.0,40.6215026,-73.9066372,Manhattan,Brooklyn,609.96
Condo,357000,3,1,1100.0,40.8389829,-73.8601515,Bronx,Bronx,324.55
Townhouse,25000000,6,8,2184.207862,40.782683,-73.9586904,Manhattan,Manhattan,11445.8
Co-op,119888,1,1,2184.207862,40.7582228,-73.8559216,Queens,Queens,54.89
Multi-family,1099999,4,2,2185.0,40.8135939,-73.8019007,Manhattan,Bronx,503.43
House,749000,2,1,2184.207862,40.7236718,-73.8030548,Manhattan,Queens,342.92
Multi-family,589999,4,2,1680.0,40.6314894,-74.1348461,Manhattan,Staten Island,351.19
Townhouse,22500000,5,6,8725.0,40.7669348,-73.9701575,Manhattan,Manhattan,2578.8
House,749000,3,2,1332.0,40.6155772,-74.1364517,Manhattan,Staten Island,562.31
Condo,499000,3,2,1156.0,40.6726721,-73.8496745,Queens,Queens,431.66
House,859000,3,3,2184.207862,40.71176,-73.753743,Manhattan,Queens,393.28
House,899000,3,2,1324.0,40.6055237,-73.9143161,Manhattan,Brooklyn,679.0
Co-op,315000,2,1,850.0,40.6142504,-73.9196974,Brooklyn,Brooklyn,370.59
House,1999999,5,2,5301.0,40.6071393,-74.097086,Manhattan,Staten Island,377.29
House,950000,4,3,1746.0,40.7107548,-73.7320869,Manhattan,Queens,544.1
Townhouse,13950000,6,6,6798.0,40.736891,-73.985669,Manhattan,Manhattan,2052.07
House,1399000,5,3,3375.0,40.6491159,-73.8389887,Manhattan,Queens,414.52
Condo,595000,3,1,660.0,40.7059312,-74.0093393,Manhattan,Manhattan,901.52
House,1618000,5,2,2200.0,40.6148883,-73.9078973,Manhattan,Brooklyn,735.45
Multi-family,1100000,3,2,1928.0,40.5142085,-74.2505102,Manhattan,Staten Island,570.54
Co-op,659000,1,1,440.0,40.6867525,-73.996485,Brooklyn,Brooklyn,1497.73
Multi-family,1099000,6,3,2018.0,40.7385519,-73.8545527,Manhattan,Queens,544.6
Condo,319000,2,2,1102.0,40.806951,-73.853401,Manhattan,Bronx,289.47
Co-op,398000,3,2,1571.0,40.7125699,-73.79318,Queens,Queens,253.34
Co-op,249000,3,1,500.0,40.8717961,-73.916064,Manhattan,Manhattan,498.0
Multi-family,1299000,3,2,2648.0,40.7544269,-73.8114185,Manhattan,Queens,490.56
Townhouse,8950000,3,6,6336.0,40.7437415,-73.978774,Manhattan,Manhattan,1412.56
House,750000,5,3,1500.0,40.6693291,-73.7924388,Manhattan,Queens,500.0
Multi-family,1100000,5,3,1916.0,40.6183626,-73.9260392,Manhattan,Brooklyn,574.11
House,1275000,3,4,2380.0,40.5393625,-74.214287,Manhattan,Staten Island,535.71
House,689000,2,2,750.0,40.5817208,-73.9645608,Manhattan,Brooklyn,918.67
Co-op,320000,1,1,2184.207862,40.7192438,-73.8499268,Manhattan,Queens,146.51
Townhouse,3995000,5,6,2184.207862,40.6799381,-73.9764616,Manhattan,Brooklyn,1829.04
Multi-family,1399000,6,5,2500.0,40.6717866,-73.7955639,Manhattan,Queens,559.6
House,395000,2,2,1089.0,40.807051,-73.853819,Manhattan,Bronx,362.72
House,1250000,4,2,2273.0,40.8976524,-73.9019402,Manhattan,Bronx,549.93
Co-op,719000,3,2,1440.0,40.721289,-73.8403901,Queens,Queens,499.31
Multi-family,795000,3,4,1171.0,40.8809803,-73.9074446,Manhattan,Bronx,678.91
Multi-family,1175000,6,5,2184.207862,40.6820237,-73.800217,Manhattan,Queens,537.95
Condo,4250000,3,4,2054.0,40.7704759,-73.9574549,Manhattan,Manhattan,2069.13
Townhouse,2500000,3,4,2201.0,40.741725,-73.9786641,Manhattan,Manhattan,1135.85
Multi-family,850000,3,2,1600.0,40.5776897,-74.0072206,Manhattan,Brooklyn,531.25
House,1350000,4,2,2948.0,40.8548137,-73.8500157,Manhattan,Bronx,457.94
House,929000,5,2,2200.0,40.5592121,-74.1263587,Manhattan,Staten Island,422.27
Townhouse,549990,3,2,2184.207862,40.5610279,-74.1050355,Manhattan,Staten Island,251.8
Multi-family,34000000,3,8,2184.207862,40.7433901,-73.9973776,Manhattan,Manhattan,15566.28
Multi-family,1550000,6,6,2184.207862,40.5757051,-74.0098832,Manhattan,Brooklyn,709.64
Co-op,265000,1,1,2184.207862,40.8003865,-73.9443376,Manhattan,Manhattan,121.33
House,879000,4,2,1630.0,40.7282179,-73.8032584,Manhattan,Queens,539.26
Townhouse,7500000,4,2,4250.0,40.77551,-73.957627,Manhattan,Manhattan,1764.71
Co-op,325000,2,1,2184.207862,40.7427699,-73.70245,Queens,Queens,148.8
House,755000,2,2,2184.207862,40.7565607,-73.7796734,Manhattan,Queens,345.66
Co-op,325000,2,2,2184.207862,40.8890553,-73.9033819,Bronx,Bronx,148.8
Co-op,1395000,2,1,2184.207862,40.7134524,-74.0070904,Manhattan,Manhattan,638.68
House,649000,3,2,980.0,40.5434215,-74.174846,Manhattan,Staten Island,662.24
House,499999,2,1,800.0,40.594453,-74.1889609,Manhattan,Staten Island,625.0
Multi-family,999998,4,4,2720.0,40.5862681,-74.1585168,Manhattan,Staten Island,367.65
Multi-family,1358000,6,3,2184.207862,40.6871306,-73.9215141,Manhattan,Brooklyn,621.74
House,1650000,5,4,2184.207862,40.8806865,-73.9157055,Manhattan,Bronx,755.42
Co-op,680000,1,1,2184.207862,40.6915357,-73.9956516,Brooklyn,Brooklyn,311.33
Co-op,258888,1,1,650.0,40.617279,-74.0267532,Brooklyn,Brooklyn,398.29
Townhouse,660000,3,2,1283.0,40.851494,-73.8492232,Manhattan,Bronx,514.42
Co-op,300000,1,1,2184.207862,40.7719231,-73.955157,Manhattan,Manhattan,137.35
Townhouse,318888,2,2,1270.0,40.6384591,-74.1646633,Manhattan,Staten Island,251.09
Co-op,330000,1,2,2184.207862,40.7595774,-73.964779,Manhattan,Manhattan,151.08
House,699000,2,2,2184.207862,40.7037872,-73.8752532,Manhattan,Queens,320.02
Co-op,875000,1,1,2184.207862,40.7769649,-73.9769247,Manhattan,Manhattan,400.6
Co-op,385000,2,2,1100.0,40.8827696,-73.9148245,Bronx,Bronx,350.0
Co-op,985000,3,2,2184.207862,40.7518439,-73.8822788,Queens,Jackson Heights,450.96
Co-op,349000,1,1,1017.0,40.5781687,-73.8586706,Queens,Queens,343.17
Townhouse,5950000,4,4,2184.207862,40.7750765,-73.9495633,Manhattan,Manhattan,2724.1
House,968000,3,2,1344.0,40.7309404,-73.8683812,Manhattan,Queens,720.24
Condo,569000,2,2,2184.207862,40.7332174,-73.8448704,Queens,Queens,260.51
Condo,238000,1,1,650.0,40.6109595,-74.060351,Staten Island,Staten Island,366.15
Multi-family,1200000,6,6,5712.0,40.7023326,-73.8891107,Manhattan,Queens,210.08
Co-op,4995000,4,3,2184.207862,40.7910972,-73.9748583,Manhattan,Manhattan,2286.87
House,911600,3,2,1596.0,40.7685072,-73.8246067,Manhattan,Queens,571.18
House,598000,3,2,1144.0,40.87796,-73.9011666,Manhattan,Bronx,522.73
Condo,472000,1,1,700.0,40.73531,-73.8812513,Queens,Queens,674.29
House,549000,1,2,2184.207862,40.669243,-73.809973,Manhattan,Queens,251.35
Multi-family,3995000,3,2,12200.0,40.6107278,-74.0701607,Manhattan,Staten Island,327.46
House,1085000,5,3,1200.0,40.618311,-73.997597,Manhattan,Brooklyn,904.17
Multi-family,680000,3,2,1535.0,40.6713695,-73.869277,Manhattan,Brooklyn,443.0
Condo,200000,1,2,637.0,40.8389649,-73.8613485,Manhattan,Bronx,313.97
Co-op,210000,2,1,1000.0,40.734848,-73.8232512,Queens,Queens,210.0
Townhouse,525000,2,2,996.0,40.546286,-74.195582,Manhattan,Staten Island,527.11
Multi-family,999000,5,3,2184.207862,40.6207744,-73.9055089,Manhattan,Brooklyn,457.37
Multi-family,1799000,3,1,5400.0,40.5767317,-74.1187369,Staten Island,Staten Island,333.15
House,519000,3,2,1200.0,40.651735,-73.830298,Manhattan,Queens,432.5
House,728900,4,1,960.0,40.6163157,-74.1248333,Manhattan,Staten Island,759.27
Co-op,549000,2,1,2184.207862,40.7201292,-73.8398387,Manhattan,Queens,251.35
Co-op,299999,2,2,1300.0,40.7808597,-73.7834998,Queens,Queens,230.77
Co-op,1195000,2,2,2184.207862,40.7361476,-73.9955368,Manhattan,Manhattan,547.11
Co-op,200000,1,1,2184.207862,40.7304899,-73.8735933,Queens,Queens,91.57
Condo,599000,2,2,1095.0,40.5784256,-73.9853674,Brooklyn,Brooklyn,547.03
Co-op,1775000,2,2,2184.207862,40.7261696,-74.0013901,Manhattan,Manhattan,812.65
Multi-family,1059000,6,3,2184.207862,40.6830732,-73.8797396,Manhattan,Brooklyn,484.84
House,1288888,3,4,1672.0,40.6069525,-74.1016936,Manhattan,Staten Island,770.87
House,1399999,3,2,2700.0,40.5116874,-74.2388187,Manhattan,Staten Island,518.52
House,725000,3,2,2410.0,40.8965547,-73.8476725,Manhattan,Bronx,300.83
Co-op,232500,1,1,2184.207862,40.7121373,-73.8277084,Queens,Queens,106.45
Co-op,250000,3,1,2184.207862,40.7992319,-73.9526079,Manhattan,Manhattan,114.46
House,639000,2,2,862.0,40.6175251,-73.9255226,Manhattan,Brooklyn,741.3
House,950000,4,4,2060.0,40.7884912,-73.8515778,Manhattan,Queens,461.17
Condo,12500000,3,2,4000.0,40.7217614,-74.0013329,Manhattan,Manhattan,3125.0
Co-op,430000,2,1,2184.207862,40.7472542,-73.8978152,Queens,Queens,196.87
Co-op,279000,3,1,1400.0,40.8563536,-73.865974,Manhattan,Bronx,199.29
